X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,CI_ID,CSLLEA08ID,SUBTYPE1,SUBTYPE2,TRIBAL,NUMPRE,NUMFIXSUB,NUMMOBILE,FTSWORN,FTCIV,PTSWORN,PTCIV
-120.6488793,40.4255349000001,249,1002304,LASSEN COUNTY SHERIFFS DEPARTMENT,1415 SHERIFF CADY LANE,SUSANVILLE,CA,96130,3782,(530) 257-6121,SHERIFF'S OFFICE,OPEN,97,LASSEN,06035,USA,40.4255349000001,-120.6488793,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,10005262,13984190,-999,-999,0,0,3,0,31,66,0,0
-122.2307306,37.4881227000001,250,1002042,SAN MATEO COUNTY SHERIFFS OFFICE,400 COUNTY CENTER,REDWOOD CITY,CA,94063,1668,(650) 363-4000,SHERIFF'S OFFICE,OPEN,598,SAN MATEO,06081,USA,37.4881227000001,-122.2307306,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,10005309,13066800,-999,-999,0,0,2,0,334,264,0,0
-121.6307325,36.7011000000001,251,1002108,MONTEREY COUNTY SHERIFFS OFFICE,1414 NATIVIDAD ROAD,SALINAS,CA,93906,3102,(831) 755-3700,SHERIFF'S OFFICE,OPEN,430,MONTEREY,06053,USA,36.7011000000001,-121.6307325,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/17 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13686060,-999,-999,0,3,0,0,315,115,0,1
-119.777112,34.4450249000001,265,1002230,SANTA BARBARA COUNTY MAIN JAIL,4436 CALLE REAL,SANTA BARBARA,CA,93110,1002,(805) 681-4260,LOCAL POLICE DEPARTMENT,OPEN,-999,SANTA BARBARA,06083,USA,34.4450249000001,-119.777112,922120,POLICE PROTECTION,"LAW ENFORCEMENT LOCATIONS; HSIP GOLD 2015, 2009",2009/09/18 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,10000865,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-116.828217167,32.788562428,272,1001606,SYCUAN TRIBAL DEPARTMENT OF PUBLIC SAFETY,1 KWAAYPAAY RD,EL CAJON,CA,92019,NOT AVAILABLE,NOT AVAILABLE,LOCAL POLICE DEPARTMENT,OPEN,20,SAN DIEGO,06073,USA,32.788562428,-116.828217167,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/05/29 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11990002,-999,-999,1,0,0,0,12,8,0,0
-123.05927908,38.9801430360001,273,1001716,HOPLAND TRIBAL POLICE DEPARTMENT,300 SHANEL ROAD,HOPLAND,CA,95449,NOT AVAILABLE,NOT AVAILABLE,LOCAL POLICE DEPARTMENT,OPEN,8,MENDOCINO,06045,USA,38.9801430360001,-123.05927908,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/05/30 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11990004,-999,-999,1,0,0,0,6,2,0,0
-119.0429955,34.1631106,274,1001502,CALIFORNIA STATE UNIVERSITY-CHANNEL ISLANDS POLICE DEPARTMENT,ONE UNIVERSITY DRIVE,CAMARILLO,CA,93012,NOT AVAILABLE,NOT AVAILABLE,SPECIAL JURISDICTION,OPEN,20,VENTURA,06111,USA,34.1631106,-119.0429955,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/05/30 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13334630,1,11,0,0,0,0,14,6,0,0
-119.7792261,38.6941816,371,1001846,ALPINE COUNTY SHERIFFS DEPARTMENT,14777 STATE ROUTE 89,MARKLEEVILLE,CA,96120,NOT AVAILABLE,(530) 694-2231,SHERIFF'S OFFICE,OPEN,15,ALPINE,06003,USA,38.6941816,-119.7792261,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,12548700,-999,-999,0,1,0,0,12,3,0,0
-118.1286485,33.9410510000001,419,1001594,DOWNEY POLICE DEPARTMENT,10911 BROOKSHIRE AVENUE,DOWNEY,CA,90241,3847,(562) 861-0771,LOCAL POLICE DEPARTMENT,OPEN,157,LOS ANGELES,06037,USA,33.9410510000001,-118.1286485,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,10000896,13655460,-999,-999,0,0,0,0,109,48,0,28
-120.8023287,38.3922259,420,1002306,SUTTER CREEK POLICE DEPARTMENT,18 MAIN STREET,SUTTER CREEK,CA,95685,4175,(209) 267-5646,LOCAL POLICE DEPARTMENT,OPEN,6,AMADOR,06005,USA,38.3922259,-120.8023287,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13610460,-999,-999,0,0,0,0,6,0,2,1
-119.0178416,36.0718381,421,1002016,PORTERVILLE POLICE DEPARTMENT,350 NORTH D STREET,PORTERVILLE,CA,93257,3651,(559) 782-7402,LOCAL POLICE DEPARTMENT,OPEN,88,TULARE,06107,USA,36.0718381,-119.0178416,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11887010,-999,-999,0,0,1,0,60,28,0,2
-114.5979467,33.6125132,422,1001477,BLYTHE POLICE DEPARTMENT,240 NORTH SPRING STREET,BLYTHE,CA,92225,1635,(760) 922-6111,LOCAL POLICE DEPARTMENT,OPEN,38,RIVERSIDE,06065,USA,33.6125132,-114.5979467,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13953690,-999,-999,0,0,0,0,26,12,0,0
-118.0367548,33.8490973,423,1001765,LA PALMA POLICE DEPARTMENT,7792 WALKER STREET,LA PALMA,CA,90623,1719,(714) 690-3370,LOCAL POLICE DEPARTMENT,OPEN,31,ORANGE,06059,USA,33.8490973,-118.0367548,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13089300,-999,-999,0,0,0,0,24,7,4,4
-117.0828943,32.6399533000001,424,1001528,CHULA VISTA POLICE DEPARTMENT,315 4TH AVENUE,CHULA VISTA,CA,91910,3801,(619) 691-5151,LOCAL POLICE DEPARTMENT,OPEN,338,SAN DIEGO,06073,USA,32.6399533000001,-117.0828943,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13051200,-999,-999,0,1,1,0,244,94,0,7
-117.3226157,34.0714371,425,1001545,COLTON POLICE DEPARTMENT,650 NORTH LA CADENA DRIVE,COLTON,CA,92324,2823,(909) 370-5000,LOCAL POLICE DEPARTMENT,OPEN,105,SAN BERNARDINO,06071,USA,34.0714371,-117.3226157,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13748470,-999,-999,0,0,1,1,71,34,0,16
-118.0764936,33.8035622,426,1001799,LOS ALAMITOS POLICE DEPARTMENT,3201 KATELLA AVENUE,LOS ALAMITOS,CA,90720,2336,(562) 431-2255,LOCAL POLICE DEPARTMENT,OPEN,25,ORANGE,06059,USA,33.8035622,-118.0764936,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13564350,-999,-999,0,0,0,0,21,4,0,9
-117.3749564,33.978053,427,1002061,RIVERSIDE POLICE DEPARTMENT - ORANGE STATION,4102 ORANGE STREET,RIVERSIDE,CA,92501,3614,(951) 787-7911,LOCAL POLICE DEPARTMENT,OPEN,552,RIVERSIDE,06065,USA,33.978053,-117.3749564,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13931490,-999,-999,0,4,0,0,385,167,0,17
-116.5122634,33.82113,428,1001972,PALM SPRINGS POLICE DEPARTMENT,200 SOUTH CIVIC DRIVE,PALM SPRINGS,CA,92262,7201,(760) 323-8116,LOCAL POLICE DEPARTMENT,OPEN,149,RIVERSIDE,06065,USA,33.82113,-116.5122634,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13209920,-999,-999,0,0,1,0,93,56,2,1
-121.5735031,37.0040985000001,429,1001675,GILROY POLICE DEPARTMENT,7301 HANNA STREET,GILROY,CA,95020,6129,(408) 846-0310,LOCAL POLICE DEPARTMENT,OPEN,96,SANTA CLARA,06085,USA,37.0040985000001,-121.5735031,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13724270,-999,-999,0,0,0,0,60,36,0,6
-118.4463891,35.1309994000001,430,1002315,TEHACHAPI POLICE DEPARTMENT,129 EAST F STREET,TEHACHAPI,CA,93561,1710,(661) 822-2222,LOCAL POLICE DEPARTMENT,OPEN,16,KERN,06029,USA,35.1309994000001,-118.4463891,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13933190,-999,-999,0,0,0,0,13,3,0,0
-121.9372641,37.942414,431,1001532,CLAYTON POLICE DEPARTMENT,6000 HERITAGE TRAIL,CLAYTON,CA,94517,1249,(925) 673-7350,LOCAL POLICE DEPARTMENT,OPEN,13,CONTRA COSTA,06013,USA,37.942414,-121.9372641,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13900490,-999,-999,0,0,0,0,11,2,0,2
-122.197740953,37.463483416,432,1001432,ATHERTON POLICE DEPARTMENT,83 ASHFIELD ROAD,ATHERTON,CA,94027,3897,(650) 323-8471,LOCAL POLICE DEPARTMENT,OPEN,26,SAN MATEO,06081,USA,37.463483416,-122.197740953,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13202420,-999,-999,0,1,0,0,20,6,5,1
-121.2442352,36.3212936,433,1001686,GREENFIELD POLICE DEPARTMENT,215 EL CAMINO REAL,GREENFIELD,CA,93927,5125,(831) 674-5111,LOCAL POLICE DEPARTMENT,OPEN,18,MONTEREY,06053,USA,36.3212936,-121.2442352,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13305230,-999,-999,0,0,0,0,14,4,0,0
-121.8029188,36.6827700000001,434,1001842,MARINA POLICE DEPARTMENT,211 HILLCREST AVENUE,MARINA,CA,93933,3534,(831) 884-1210,LOCAL POLICE DEPARTMENT,OPEN,37,MONTEREY,06053,USA,36.6827700000001,-121.8029188,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13929890,-999,-999,0,0,0,0,30,7,0,0
-122.2902081,38.2967623000001,435,1001912,NAPA POLICE DEPARTMENT,1539 FIRST STREET,NAPA,CA,94559,2840,(707) 257-9550,LOCAL POLICE DEPARTMENT,OPEN,118,NAPA,06055,USA,38.2967623000001,-122.2902081,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13756570,-999,-999,0,0,0,0,72,46,0,0
-121.9189488,36.6191708000001,436,1001967,PACIFIC GROVE POLICE DEPARTMENT,580 PINE AVENUE,PACIFIC GROVE,CA,93950,3335,(831) 648-3143,LOCAL POLICE DEPARTMENT,OPEN,27,MONTEREY,06053,USA,36.6191708000001,-121.9189488,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13114410,-999,-999,0,0,0,0,20,7,0,3
-122.2208234,37.4931562,437,1002041,REDWOOD CITY POLICE DEPARTMENT,1301 MAPLE STREET,REDWOOD CITY,CA,94063,2766,(650) 780-7100,LOCAL POLICE DEPARTMENT,OPEN,135,SAN MATEO,06081,USA,37.4931562,-122.2208234,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11991260,-999,-999,0,0,0,0,96,39,0,7
-121.910219,37.4491019000001,438,1001869,MILPITAS POLICE DEPARTMENT,1275 NORTH MILPITAS BOULEVARD,MILPITAS,CA,95035,3153,(408) 586-2400,LOCAL POLICE DEPARTMENT,OPEN,110,SANTA CLARA,06085,USA,37.4491019000001,-121.910219,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,11918290,-999,-999,0,0,0,0,86,24,0,1
-118.490803,34.0122584000001,439,1002247,SANTA MONICA POLICE DEPARTMENT,333 OLYMPIC DRIVE,SANTA MONICA,CA,90401,NOT AVAILABLE,(310) 458-8491,LOCAL POLICE DEPARTMENT,OPEN,337,LOS ANGELES,06037,USA,34.0122584000001,-118.490803,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,10006908,11186940,-999,-999,0,0,3,0,205,132,0,108
-121.4189237,37.7390329,440,1002330,TRACY POLICE DEPARTMENT,1000 CIVIC CENTER DRIVE,TRACY,CA,95376,4079,(209) 831-4550,LOCAL POLICE DEPARTMENT,OPEN,140,SAN JOAQUIN,06077,USA,37.7390329,-121.4189237,922120,POLICE PROTECTION,"UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE STATISTICS. 2011-08-03, http://doi.org/10.3886/ICPSR27681.v1",2008/06/30 00:00:00+00,IMAGERY/OTHER,2018/07/16 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,13567250,-999,-999,0,0,0,0,90,50,0,2
